2,0.21,2.01,1.98,0.61,133.48,114.79,115.63,116.28,112.08,205.59,109.96,121.21,0.12,0.35,2.55
2.03,0.37,2.03,2.01,0.82,122.43,144.48,134.58,125.42,108.96,98.97,123.55,116.48,-0.07,0.31,0.83
1.97,0.28,1.96,1.96,0.5,104.22,115.4,113.44,116.77,104.32,122.6,127.82,111.45,-0.24,0.16,0.85
0.26,1.99,0.42,0.81,2,166.73,145.58,126.14,325.84,109.7,149.07,102.89,129.97,-0.39,-0.02,-0.1
1.96,0.27,2.03,1.98,0.7,120.17,99.15,132.73,119.42,106.87,130.59,140.04,123.84,-0.28,-0.23,-0.57
0.26,2.02,0.53,0.82,2.02,202.97,113.75,111.01,390.93,103,141.81,124.07,127.77,-0.12,-0.39,-1.65
2.01,0.4,2.03,1.99,0.65,106.66,120.76,114.07,135.72,131.95,101.27,101.59,120.96,0.08,-0.27,-2.18
1.97,0.25,1.98,2,0.55,120.35,125.67,109.49,104.51,138.59,121.32,128.24,148.12,0.27,-0.14,-2.1
2,0.42,2.01,1.98,0.79,228.44,118.26,118.05,191.62,131.21,110.35,121.84,143.57,0.36,0.04,2.58
1.99,0.28,1.98,1.97,0.7,116.35,87.81,142.7,128.03,109.98,124.18,146.46,132.96,0.21,0.22,2.49
0.25,2.03,0.46,0.86,2,129.34,116.43,135.6,301.09,122.46,192.85,135.31,128.01,0.05,0.39,1.64
2.02,0.31,1.99,2.03,0.74,110.29,124.15,111.97,139.14,110.6,123.87,134.78,121.63,-0.15,0.28,1.01
1.99,0.26,2.01,1.99,0.57,117.68,118.13,127.5,122.31,90.79,205.01,118.95,122.56,-0.34,0.14,0.79
1.98,0.36,2.02,1.99,0.79,158.2,128.11,112.48,137.66,135.1,135.83,127.5,134.68,-0.33,-0.07,-0.51
1.99,0.23,2.04,1.97,0.61,138.55,127.5,115.47,116.74,133.51,123.35,139.42,117,-0.21,-0.27,-0.57
2,2.04,1.97,1.97,0.8,198.52,125.2,119.32,212.8,109.38,128.59,140.17,129.72,-0.03,-0.37,-2.09
2.01,0.32,2.02,2,0.65,109.86,113.68,134.5,110.55,117.13,142.9,105.38,119.37,0.15,-0.23,-2.28
2.01,0.25,2.02,2.02,0.51,111.96,108.4,118.78,107.82,104.89,186.71,130.55,134.4,0.32,-0.06,-2.41
2.01,0.25,2.02,1.98,0.77,171.24,129,113.42,119.89,115.92,118.55,117.19,131.66,0.32,0.15,2.62
2,0.24,2,2,0.63,122.36,123.14,110.49,123.55,115.84,185.18,113.47,131.64,0.19,0.35,2.52
2.03,0.45,1.99,2.02,0.78,137.26,134.77,115.64,134.28,95.43,119.66,115.93,109.02,0,0.32,0.94
2.01,0.25,2.01,2.03,0.57,130.29,129.67,110.02,122.26,116.83,122.09,138.34,105.03,-0.19,0.17,0.88
2.02,0.24,2.04,2,0.43,119.14,141.26,113.9,165.84,109.99,264.67,121.48,126.79,-0.38,0.03,0.72
1.99,0.28,2.01,1.96,0.84,141.57,128.8,98.46,128.13,114.94,109.75,135.35,115.27,-0.3,-0.17,-0.64
2,0.26,1.99,1.98,0.61,119.17,115.59,127.22,136.63,123.03,202.97,112.67,100.79,-0.16,-0.36,-0.76
1.99,0.36,2.01,2.01,0.76,138.23,122.16,145.09,104.87,109.78,101.47,124.58,110.35,0.05,-0.32,-2.14
1.99,0.22,2,1.97,0.67,118.16,125.82,143.5,127.75,113.51,123.23,109.67,111.99,0.25,-0.19,-2.16
0.24,1.99,0.5,0.8,2,201.94,111.96,108.64,208.06,124.95,113.3,98.26,123.37,0.37,-0.02,2.8
1.99,0.28,2,2,0.62,118.68,110.3,124.33,118.29,118.63,117.72,120.57,134.57,0.23,0.17,2.43
2.03,0.25,2.02,1.99,0.52,118.52,120.8,107.04,128.79,120.58,187.29,121.57,127.61,0.08,0.35,2.33
2,0.29,2,1.96,0.79,142.7,113.56,105.82,107.82,119.92,142.51,128.83,102.77,-0.13,0.32,0.99
2,0.24,2.01,2.02,0.64,124.09,130.56,127.13,110.19,114.27,158.09,119.43,110.59,-0.33,0.19,0.94
1.99,0.44,2.01,1.98,0.78,149.15,109.53,115.51,137.64,124.16,115.06,126.03,121.03,-0.34,-0.01,-0.63
1.98,0.3,2,2.01,0.63,96.66,100.39,125.62,104.32,112.21,97.66,109.01,117.82,-0.19,-0.19,-0.71
2.02,0.28,2,2.02,0.45,109.49,120.94,109.5,206.72,122.43,208.69,124.07,138.84,-0.03,-0.37,-0.98
1.99,0.29,1.99,2,0.84,119.31,119.89,146.27,119.41,109.01,107.23,122.69,111.98,0.18,-0.31,-2.13
1.98,0.25,2,2,0.59,138.3,130.59,113.95,202.85,109.02,274.78,109.74,124.45,0.37,-0.18,-2.58
2,0.43,1.98,2.02,0.68,110.47,120.15,101.49,120.63,126.43,136.71,125.02,109.52,0.27,0.01,2.39
2.01,0.23,2.02,1.98,0.52,102.09,112.19,107.19,124.19,125.9,141.89,130.6,129.77,0.12,0.19,2.42
2.01,0.26,2,1.97,0.46,97.68,130.75,124.46,166.54,130.63,194.7,126.62,100.67,-0.04,0.36,2.18
2.01,0.28,1.99,2,0.78,123.81,99.77,134.1,118.23,96.87,118.8,116.08,143.51,-0.26,0.31,0.99
0.27,2,0.6,0.77,2.02,232.95,108.94,118.27,227.75,103.03,119.2,139.42,122.38,-0.38,0.14,-0.33
2,0.41,2.01,1.99,0.76,129.75,129.92,138.77,134.91,122.36,129.68,108.85,105.71,-0.26,-0.07,-0.49
2,0.22,1.95,2.03,0.65,120.32,143.2,132.98,122.43,113.74,131.05,105.48,103.64,-0.14,-0.27,-0.56
1.99,2.02,2.03,2.03,0.8,208.85,126.65,121.63,198.32,122.72,113.49,114.48,113.03,0.03,-0.38,-2.06
2,0.24,2.03,2.05,0.63,133.1,123.53,115.48,113.67,99.37,123.94,109.05,127.72,0.22,-0.23,-2.26
0.27,2.01,0.47,0.83,1.99,177.15,124.77,114.53,241.31,135.84,203.68,109.73,125.55,0.37,-0.06,-3.09
2,0.3,1.99,1.97,0.8,123.31,107.04,129.91,118.19,135.28,91.43,120.76,132.18,0.28,0.15,2.57
2,0.27,1.99,2.02,1.99,114.37,119.88,109.86,120.43,125.54,209.95,119.92,195.17,0.16,0.36,2.6
