
--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (1, 10) Actions Values: {'up': -9.995, 'down': -40.734, 'left': -46.011, 'right': -9.995} Nr Visits: 718
Pos: (2, 10) Actions Values: {'up': -35.878, 'down': -41.661, 'left': -9.995, 'right': -9.995} Nr Visits: 715
Pos: (3, 10) Actions Values: {'up': -38.561, 'down': -34.309, 'left': -9.995, 'right': -34.309} Nr Visits: 389
Pos: (4, 10) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 10) Actions Values: {'up': -9.478, 'down': -17.195, 'left': -13.55, 'right': -9.42} Nr Visits: 62
Pos: (6, 10) Actions Values: {'up': -13.55, 'down': -17.195, 'left': -9.817, 'right': -9.797} Nr Visits: 82
Pos: (7, 10) Actions Values: {'up': 7.304, 'down': -28.477, 'left': -9.937, 'right': -9.943} Nr Visits: 162
Pos: (8, 10) Actions Values: {'up': 2.007, 'down': -17.195, 'left': -9.995, 'right': -9.995} Nr Visits: 237
Pos: (9, 10) Actions Values: {'up': -0.647, 'down': -32.566, 'left': -9.995, 'right': -9.995} Nr Visits: 359
Pos: (10, 10) Actions Values: {'up': -9.995, 'down': -30.629, 'left': -9.995, 'right': -35.878} Nr Visits: 390

--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (1, 1) Actions Values: {'up': -23.428, 'down': -2.859, 'left': -20.476, 'right': -9.994} Nr Visits: 212
Pos: (2, 1) Actions Values: {'up': -28.477, 'down': 1.001, 'left': -9.835, 'right': -9.852} Nr Visits: 142
Pos: (3, 1) Actions Values: {'up': -13.55, 'down': -9.75, 'left': -9.75, 'right': -20.476} Nr Visits: 78
Pos: (4, 1) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
